,PC_1,PC_2,PC_3,class,CoinName,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
TEAM,-0.2647951437781002,2.173698547455885,-1.749694016796121,1,TeamUP,PoS,PoS,17818682.1654,301000000
LANA,-0.08167508753647798,1.199135818009083,1.5721362554833347,1,LanaCoin,SHA-256D,PoW/PoS,1082162635.5368302,7506000000
ELE,-0.35754191887185965,-1.6728614389471292,-0.3716978728600107,0,Elementrem,Ethash,PoW,26205539.0,26205539
ZCL,-0.3536868858729699,-1.6824088054253403,-0.3528302784395831,0,ZClassic,Equihash,PoW,5613550.0,21000000
ARK,2.0719229090453717,0.8174438374773564,-0.4029637785758758,1,ARK,DPoS,DPoS,108202084.0,125000000
FRE,-0.266395178551561,2.173822403894167,-1.7496899239243318,1,FreeCoin,PoS,PoS,50000000.0,50000000
XCRE,-0.26684156639542794,2.1738560948458234,-1.7496837667310088,1,Creatio,PoS,PoS,20000000.0,20000000
ASAFE2,-0.2586176049610908,1.8496394911164427,-0.967999826357505,1,Allsafe,Quark,PoS,10517772.7391666,15000000
LTCR,-0.22692225488519477,0.3481107310996247,0.950108909842087,1,LiteCreed,QuBit,PoW/PoS,30227750.0,78835200
HXX,-0.364100745848523,-1.82766688066236,-0.2848910440075872,0,HexxCoin,Lyra2RE,PoW,1876146.4435959999,9999999
CTL,-0.361295045253047,-1.8353322494873012,-0.28647383734948695,0,Citadel,CryptoNight-V7,PoW,10969318.522954,185000000
ZER,-0.3537063894641318,-1.682407275395664,-0.3528303463899649,0,Zero,Equihash,PoW,6921653.89980891,17000000
ZOI,-0.3638943303127655,-1.8276823978420045,-0.284894251093639,0,Zoin,Lyra2RE,PoW,18545757.5,21000000
DBIX,-0.3616300144668815,-1.8066109144928373,-0.2804724820591947,0,DubaiCoin,Dagger-Hashimoto,PoW,2232901.0,2232901
TAJ,-0.19015834061205136,1.1956862774391819,1.5494200286307689,1,TajCoin,Blake2S,PoW/PoS,12184195.9258495,36900000
ATMOS,-0.2654917112759993,2.173754224289796,-1.7497024394777925,1,Atmos,PoS,PoS,111135836.889,110290030
CXT,-0.2997430306827044,-0.7396343800863426,0.3304034408897708,0,Coinonat,NIST5,PoW,10123200.0,48252000
MCRN,-0.26117660523625896,2.1734285496028196,-1.7497619958781194,1,MacronCoin,PoS,PoS,401421401.0,400000000
PHR,-0.2668330589905798,2.1738552493968695,-1.749682702685497,1,Phreak,PoS,PoS,11390225.974277198,30000000
HTML5,0.8836267505241191,1.2133435168719973,1.160165878718713,1,HTML5 Coin,X15,PoW/PoS,40659020000.0,90000000000
QTUM,-0.25685008388538366,2.0537182193530903,-1.6124113370607045,1,QTUM,POS 3.0,PoS,100000000.0,100000000
QRL,-0.36144460621910746,-1.835319452725151,-0.286480539191456,0,Quantum Resistant Ledger,CryptoNight-V7,PoW,69036016.8340164,105000000
ESP,0.5952728027661921,1.1250477122787466,1.5381460602675865,1,Espers,536,PoW/PoS,22801882871.0,50000000000
DYN,-0.3614609696567664,-1.8066256345055023,-0.28047812477118295,0,Dynamic,Argon2d,PoW,19784224.6512734,0
NANO,-0.300621766732202,-1.820613174853005,-0.28469996275676435,0,Nano,Blake2b,PoW,133248297.0,340282367
CHAN,-0.3611549341146101,-1.8066535500309808,-0.2804799090384404,0,ChanCoin,Cloverhash,PoW,18407259.0885883,30000000
DNR,-0.18281667833075133,1.0007332570434888,1.2562137045172002,1,Denarius,NIST5,PoW/PoS,4171382.0,10000000
VUC,-0.1815661116250098,1.0006383111986,1.2561997071405222,1,Virta Unique Coin,NIST5,PoW/PoS,62942075.0,120000000
BTPL,-0.18992731847533093,1.200178260946245,1.5573763004196481,1,Bitcoin Planet,Skein,PoW/PoS,6804362.0,100000000
BTX,-0.3612579414338656,-1.806644194892506,-0.2804790366430917,0,Bitcore,Time Travel,PoW,17801865.1605478,21000000
SMART,-0.26886825482355386,-1.1824149233302006,0.17398461760896,0,SmartCash,Keccak,PoW,2241009149.22257,5000000000
SIGT,-0.25479739081879327,2.0379590400903003,-1.5958516889419572,1,Signatum,SkunkHash v2 Raptor,PoS,107972766.0,137500000
CRM,-0.18962180506218573,1.2001556452965407,1.557369513584429,1,Cream,Skein,PoW/PoS,47331802.477423795,100000000
VET,2.607649243709392,0.5943250996233501,4.768639648060094,1,Vechain,VeChainThor Authority,Proof of Authority,55454734800.0,86712634466
STCN,-0.2666567892758875,2.1738415194474965,-1.7496826588520384,1,Stakecoin,PoS,PoS,4000000.0,61599965
ODN,-0.24396914535147712,1.977960878385223,-1.5351681346392692,1,Obsidian,SHA-512,PoS,25000000.0,91388946
ADA,0.5093314643407237,1.969375685955241,-1.6077475283613576,1,Cardano,Ouroboros,PoS,25927070538.0,45000000000
BTCZ,-0.16043203205131884,-1.697166999565729,-0.35449460422886436,0,BitcoinZ,Equihash,PoW,5211553258.01514,21000000000
TZC,-0.22750444692426447,0.27806383475050295,0.9299593749063179,1,TrezarCoin,NeoScrypt,PoW/PoS,182638400.0,400000000
VIVO,-0.3488401364991415,-1.4619685307100811,0.004195531357044549,0,VIVO Coin,NeoScrypt,PoW,4165967.57499639,27000000
RUP,-0.2686447110018987,1.1402687651653391,-0.884824993830918,1,Rupee,Lyra2REv2,PoS,24000000.0,24000000
BTG,-0.3535995243917527,-1.6824152723645058,-0.35283221913335355,0,Bitcoin Gold,Equihash,PoW,17202361.088994,21000000
NAMO,-0.16988637348987579,0.9997504235659056,1.2560755749251407,1,NamoCoin,NIST5,PoW/PoS,560563220.0,1200000000
LUX,-0.1943761954263138,1.3780966138642614,0.772149071034415,1,LUXCoin,PHI1612,PoW/PoS,8305775.31777569,60000000
PIRL,-0.3615301572449117,-1.8206699320485864,-0.2834079715401822,0,Pirl,Dagger,PoW,33986980.0,156306732.71
BTDX,-0.21132235773520433,1.3611799001708922,0.623269877178409,1,Bitcloud 2.0,Quark,PoW/PoS,30711550.5294042,200000000
KEK,-0.25709604910153605,2.0381646663391866,-1.5958113329077084,1,KekCoin,POS 2.0,PoS,12330806.30517,21000000
INN,-0.34869134099832133,-1.46197993354442,0.004194481395975031,0,Innova,NeoScrypt,PoW,6375259.04,45000000
ELLA,-0.3557801584744929,-1.6729973274080416,-0.3717052082343275,0,Ellaism,Ethash,PoW,12756367.0,280000000
GBX,-0.3487923373367805,-1.4619721725762247,0.0041950709774416835,0,GoByte,NeoScrypt,PoW,5832306.875,31800000
TAU,2.0760319219102006,0.817131579249002,-0.40300806958812024,1,Lamden Tau,DPoS,DPoS,288090567.493887,500000000
ECA,0.2513984086087544,0.9679436101747738,1.250325670167188,1,Electra,NIST5,PoW/PoS,28399150208.0,30000000000
XSH,-0.32371018013744146,-1.482635852979476,-0.45118247119293714,0,SHIELD,Multiple,PoW,481730566.566176,660000000
DAXX,-0.28059352524816766,-1.6787726711973656,-0.37215749501625583,0,DaxxCoin,Ethash,PoW,520891780.0,10000000000
BWK,-0.22840310706514852,1.4890619802533975,-0.3350685586007023,1,Bulwark,NIST5,PoS,13247178.880728599,27716121
KLKS,-0.258532366778884,1.8496330735107356,-0.9680010933664652,1,Kalkulus,Quark,PoS,16955764.902064003,20000000
LTHN,-0.35207216099163824,-1.83603254144775,-0.28657666207876625,0,Lethean,CryptoNight-V7,PoW,441250233.377,999481516
PHO,0.7570583023739166,-1.269166090252354,0.16223094950520442,0,Photon,BLAKE256,PoW,30089671530.5228, 90000000000
SPK,-0.3488564311031611,-1.4619671950883255,0.0041951415138464666,0,SparksPay,NeoScrypt,PoW,7847417.33355824,21000000
WAGE,-0.2577202737292071,1.8495708013937064,-0.9680066032928077,1,Digiwage,Quark,PoS,27299680.0,120000000
GUN,-0.3431391651357756,-1.4624007475070187,0.004128155471596064,0,GunCoin,NeoScrypt,PoW,299797953.0,500000000
ITZ,-0.33510245123353005,-1.1768048133551614,0.17482876167797498,0,Interzone,C11,PoW,11916588.09471,23000000
TPAY,-0.25800038456482005,2.0538049880918408,-1.6123951814290016,1,TokenPay,POS 3.0,PoS,20445861.534425102,25000000
MCT,-0.28644064008651754,0.5558526744800283,-1.0371650786514188,1,1717 Masonic Commemorative Token,Ethash,PoS,1618033.0,1618033
MUN,-0.36144778067913635,-1.8066274071252892,-0.2804744105938476,0,MUNcoin,SkunkHash,PoW,4818338.98949984,16600000
TRF,-0.36139065826535716,-1.8206790440019778,-0.28341812586573123,0,Travelflex,Dagger,PoW,107325266.02778299,100000000
KREDS,-0.32754046207632553,-1.089371540903517,-0.2194971825305072,0,KREDS,Lyra2REv2,PoW,643795911.540095,1100000000
BBP,-0.09286954743744123,1.071410977329538,5.78558773277644,1,BiblePay,Proof-of-BibleHash,POBh,1772091549.88818,5200000000
LCC,-0.2020496725047525,1.0908433412484486,5.815463174751226,1,LitecoinCash,SHA-256 + Hive,PoW + Hive,638382332.208514,840000000
SPD,-0.2178822965959077,0.5635403289219582,1.1006368331951084,1,Stipend,C11,PoW/PoS,11251342.1879021,19340594
POA,-0.2224679720062646,1.0944466359617973,5.823455933116062,1,Poa Network,Proof-of-Authority,PoA,204479039.0,252460800
